,GSM1519728_Ji-Batch3-1_PrimeView_.CEL.gz,GSM1519729_Ji-Batch3-10_PrimeView_.CEL.gz,GSM1519730_Ji-Batch3-11_PrimeView_.CEL.gz,GSM1519731_Ji-Batch3-12_PrimeView_.CEL.gz,GSM1519732_Ji-Batch3-13_PrimeView_.CEL.gz
TRHR,4.706629057,4.034151641,4.643059463,4.159824,4.486949211
LOC100132288,4.685906013,4.689435544,4.848785811,5.289771446,7.193515979
DENND4A,6.742911758,6.834488388,6.952120759,6.71162548,6.613383144
DENND4B,9.59936861,9.761759937,9.426533369,9.290815072,9.421296836
DENND4C,8.047905811,8.083061571,8.383893147,7.942057602,8.1269813
SWAP70,8.376092478,8.328804324,8.382417435,8.537819315,8.249772093
PREB,7.153236019,6.943132097,6.833338375,6.932201051,6.868484542
PHLDA1,4.975807749,4.853664439,4.969424429,4.994550268,4.822802043
PHLDA3,6.543341628,6.281018617,6.608110228,6.854516523,6.625460384
UFSP2,7.175476269,6.839236541,6.863449512,6.910546528,6.987637852
NAA15,6.546293033,6.515728191,6.42609606,6.13236025,6.611051434
GAP43,4.125600921,4.137439766,4.104180768,4.186971504,4.101505723
PAMR1,5.939843152,6.030775607,5.903116838,6.057685605,6.03561255
C22orf26,5.130887419,5.564883761,5.355994114,5.372866983,5.484062983
FLJ42393,6.240563363,6.124631797,5.866951111,6.886446876,6.13959102
MRPL28,8.481048587,8.554455204,8.50652012,8.480027983,8.399685663
FBXL13,7.239428062,6.948910996,6.732173459,6.802115772,5.515757617
FBXL12,8.824026981,8.950885541,8.957484192,8.608390329,8.840601715
FBXL15,8.359406094,8.28130349,8.194637065,8.05849701,7.999967548
CYP27B1,5.463920785,5.480240958,5.592901347,5.560000482,5.501731447
FBXL17,7.366443527,7.419379745,7.502298878,7.412338192,7.710796289
FBXL16,7.896715558,7.898252274,8.081147532,7.750875438,8.103504852
FBXL19,5.686353634,5.769704037,5.736521445,5.546078604,5.525319121
FBXL18,6.584735168,6.648850794,6.370680366,6.765607174,6.501703687
FAM116A,8.672493829,8.409315279,8.715037608,8.667458239,8.480027983
FAM169B,4.89063382,4.795240024,4.66653178,4.904004315,4.738048049
LRRC7,3.908370852,4.054818021,3.808214054,3.866583977,3.920912838
GHDC,6.404997413,6.415849326,6.051374957,6.576665371,6.428477166
ABCB1,7.230733965,6.850468994,7.012520881,7.207248877,6.946678528
SDK1,6.20561907,6.317731542,6.291123108,6.389946611,6.31317287
SDK2,6.136204561,5.911248714,6.040756758,5.862507732,6.231347445
GRP,3.786062441,3.758620896,3.833954619,3.916050859,3.799836409
LOC100287098,5.923376651,5.990617673,6.275498706,6.33573106,6.263277368
TPRN,7.345893456,7.420215242,7.198531307,7.475047409,7.436478288
THSD4,5.754170298,5.780570518,5.615362343,5.459430375,5.523068583
THSD1,6.631446604,6.643810195,6.655060642,6.435385685,6.556037434
CHST9,3.817671899,3.784270585,3.91408335,3.739399381,3.768580108
COL4A6,4.486706476,4.493475391,4.336813548,4.609015933,4.520789815
COL4A5,4.13868504,3.940980119,3.927451447,3.933720107,3.789125874
COL4A4,4.852693799,4.516956071,4.887442282,4.659007493,4.548524822
COL4A3,4.836535437,4.96726576,4.773653415,4.530478862,4.803419397
COL4A2,4.886219664,5.025496896,5.231905729,5.233730958,5.311583115
COL4A1,4.5370928,4.532043355,4.385537046,4.907893325,4.603100498
OR8J3,3.876834548,3.793994528,3.942652922,4.296309334,3.930145582
GRN,10.03506016,10.9991117,12.08216711,10.36377142,10.2725878
CHST3,5.391152919,5.157729853,5.753683448,5.474017953,5.654409274
CHST2,8.734016668,9.180559971,8.659872172,9.327978208,8.950216565
CHST5,5.30683386,5.009999347,5.044301555,5.405246899,5.140564022
CHST4,6.354368574,6.530137158,6.297233128,6.522187616,6.539220983
CHST7,8.70692893,8.327836148,9.05447226,8.971683182,8.233331471
CHRM5,5.023436168,4.960768224,5.11146587,5.137309925,5.11146587
ITGAX,6.890900931,6.835916482,6.827105329,6.816775671,6.438161402
OR8J1,3.937453727,3.9960821,3.896891844,4.129753883,3.993715109
C16orf90,6.276074003,6.143635566,6.316344043,6.230866635,6.415849326
HLX,9.711857023,9.944434761,9.139601479,9.403170681,9.290815072
HLCS,5.702111835,6.012641342,6.086354528,5.931843664,5.978033085
NOG,7.765120825,8.098121546,7.260521264,7.648921188,7.962668919
ITGAV,4.326924782,4.263808037,4.234143596,4.212180268,4.079074978
COX7C,11.85093148,10.75868594,10.8245289,11.27211333,10.8867646
ZNF703,6.529386433,6.804050465,6.477411106,6.635205512,6.468328529
ITGAL,9.354461849,9.165593483,9.0995877,8.993445896,8.970939017
ITGAM,11.97730938,9.030460595,11.75498213,11.94751016,11.93472455
HLF,5.0142813,4.806463685,4.912517786,4.948280771,4.814400608
NOV,7.821098822,8.022594911,7.947984898,7.637189689,8.057676683
FAM134C,8.103504852,7.870928023,7.997548604,7.947984898,7.8229188
FAM134B,7.534307299,7.6242612,7.310964016,7.070652635,7.529588566
FAM134A,10.11723681,9.615013275,9.676464846,9.977469221,9.696754011
LOC100287896,5.115465547,5.179594165,5.245836229,5.115707405,5.066737307
SMAD9,5.52464642,5.60073795,5.527834857,5.483892075,5.439112025
TRERF1,8.482979477,8.527172525,8.663604733,8.547107072,8.445117193
HS3ST6,6.78709157,6.55293272,6.605605183,6.792575164,6.69046639
LRPAP1,9.261830886,9.350275918,9.312314084,8.984843856,9.059658693
SMAD5,7.015236562,6.969216888,7.347653378,7.148994476,6.966183524
SMAD6,5.099712275,4.882437811,4.779350227,4.831268748,5.075378553
SMAD7,5.609863414,5.584194178,5.557241348,5.463689151,5.162566566
GOLPH3L,6.705036882,6.899154024,6.786852375,6.639633231,6.595904728
SMAD1,5.844082164,6.740705726,6.819940425,6.249554399,6.087080353
AFTPH,8.739924574,7.945261512,9.083136308,8.709904033,8.887401028
SMAD3,6.94390287,7.027290884,7.156382908,6.872868881,6.826809703
RFK,7.622382545,7.796252758,8.174757111,7.965184316,8.364995593
AMMECR1L,7.900412901,7.932732865,7.652827074,7.918680762,7.658324104
CYFIP1,8.311294555,9.612388396,8.614134251,8.277922055,8.476235987
TMPRSS11B,4.429854212,4.505554125,4.411323516,4.479810422,4.399839657
IGF2R,7.522387654,7.043848691,9.022398523,9.876046242,11.9842878
TMPRSS11D,5.257256812,5.048209036,5.525319121,5.257685086,5.156238968
TMPRSS11E,4.196840728,4.169427651,4.244112415,4.159037129,4.060004229
TMPRSS11F,4.008941379,4.064591992,4.103770182,3.954980659,4.030477449
HRH2,6.822970977,6.841264741,6.800815754,6.76831607,6.65849282
RAD21L1,3.740448487,3.763209431,4.126083029,4.726780577,4.862439947
HAUS6,6.405220218,6.437892458,6.75487646,6.281581705,6.528095085
SLC36A3,4.90845379,4.79337865,4.825880432,4.867211145,4.870748829
CKS1B,6.09830914,5.821385414,5.944859744,6.009472042,5.643140381
SLC36A1,7.100970394,7.080397739,6.895223888,7.214738588,7.10032253
EXOG,5.94993637,6.024401823,6.054775937,6.074722696,5.831991431
ST13,8.656245011,8.697427508,10.19110827,9.07508755,9.033845555
HYI,6.7215006,7.064383511,6.861075635,6.763151184,6.686586889
ZC3H15,9.007081026,8.633376278,8.832517824,8.739285862,8.809553892
TMEM213,5.286701938,5.095020308,5.318956641,5.060258267,4.828934339
ERICH1,5.723408749,8.256021495,9.314411225,8.57866246,5.941559543
C14orf119,3.96674895,4.199736816,4.054818021,4.33106078,4.050487557
ART1,6.412954559,6.221493933,6.36431989,5.984372504,6.174767078
HRH3,6.728422849,6.754011902,6.686586889,6.883493014,7.06231602
ART3,4.956663564,4.875703349,4.844998377,4.67597511,4.888180109
NS3BP,6.873415683,6.551110904,6.510034211,6.477225274,6.740977312
ART5,5.798884001,5.830518414,5.793179669,5.807792414,5.910571678
ART4,4.924366332,4.756485471,4.720545627,4.718355358,4.402568125
FLJ43826,5.79863154,5.831793333,5.703619282,5.948360503,5.730255816
HERC2P9,6.985680776,7.13793662,7.013271849,7.27900666,7.335390918
CEP97,5.376639179,5.457185523,5.703915844,5.741700717,5.259313206
SPTLC1,6.472689674,6.209162012,6.552182352,6.365372579,6.003195227
TCEA2,7.61475009,7.619354841,7.488460933,7.625761345,7.602934548
TCEA3,6.146782794,6.522414443,6.398003913,6.15723116,6.651618484
TCEA1,8.724665211,8.705874477,8.866834258,8.51248258,8.744235304
ABCD1,6.546854908,6.429251417,6.044152734,6.574672154,6.521643235
COX4I1,9.328919491,9.766464411,10.41852002,12.05781784,12.04879429
BFAR,8.354103674,8.359927001,8.471646155,8.266463471,8.361686987
IQCK,5.095782194,5.285039865,5.156768678,4.787920651,5.114033742
CRTAM,7.472870992,7.087057646,6.984589673,6.958289076,7.331708359
EDA,5.392687709,5.449347518,5.262683876,5.442898947,5.563879074
ESPNP,6.940427577,6.652158297,6.588897402,7.118621354,6.917104617
OR6P1,4.53184835,4.66603378,4.724533611,4.618016196,4.586473729
CCDC116,6.276787585,6.171130367,6.160055867,6.278859083,6.332183925
CCDC117,7.849476275,7.677962858,7.57949098,7.638536696,7.705483582
CCDC114,7.459293111,7.711967611,7.770675855,7.959509007,8.063779436
RLF,7.433789846,7.385031282,7.486754317,7.208687556,7.203560759
CCDC112,7.056452099,6.774665762,7.135344459,7.035794882,6.971641144
MCF2L,5.267087149,5.327646352,5.278384245,5.465447455,5.373445209
CCDC110,3.884521196,3.90923853,3.949225534,4.020956015,3.873846767
CCDC111,7.457523777,7.069770962,7.466409336,7.288432115,7.221105004
LEO1,7.646440794,7.766190633,7.592991994,7.529588566,7.497585591
ATP1A4,4.800618358,5.056542745,4.83897282,4.618731794,4.684614934
ATP1A3,5.504383239,5.482145838,5.377058317,5.675450468,5.441828415
ATP1A2,5.659724908,5.931081164,5.992787888,5.886123615,5.812875071
ATP1A1,11.26878395,11.24403548,11.04222056,10.80635115,11.04222056
GUSBP1,5.671780731,5.579552343,5.550537273,5.188405518,5.313000674
MGRN1,10.80418781,10.51887904,10.34848511,10.30264875,10.30073215
ADHFE1,6.325864557,6.113183356,6.48179954,6.262479386,6.141912077
CRTAP,7.199866866,7.477219634,7.514241392,7.080867102,7.488816915
SPHK2,6.711151514,6.658770475,6.78856096,6.775241247,6.718772882
SPHK1,6.949881091,6.609156731,6.867876708,7.20778106,6.826551329
DPT,4.789408399,4.939411353,4.877890841,4.633588181,4.661939679
BPESC1,3.860554799,3.930918913,3.742419257,3.885499332,3.773857666
IPO11,5.893309244,6.187768115,6.061900193,6.359727927,5.027154274
CUEDC2,10.31137058,10.2725878,10.09907798,10.02355307,10.24750389
IPO13,6.118984778,6.071741635,6.275145419,6.048206929,6.041519098
CPEB4,9.186718199,8.867585427,9.34736412,9.162548026,8.971683182
CPEB1,4.623107781,4.316680266,4.60363691,4.282282741,4.367602805
CPEB3,5.001241655,4.994745246,5.074026478,5.078813783,4.83454597
CPEB2,7.260742906,7.628170791,7.52633682,7.767118343,7.119626574
RBMXL1,8.628854757,8.531594247,8.703007353,8.343720991,8.45052777
RBMXL3,4.536020141,4.477984668,4.409051555,4.417349,4.459274844
ZNF44,8.097223625,8.144564338,8.241416083,8.051806704,8.30003511
ABAT,7.303477784,7.26970247,7.404671839,7.360456729,7.162670135
LOC100129637,8.129748849,7.792727875,7.933089741,8.203157153,8.258888853
ZNF780A,6.488370157,6.517878038,6.568550804,6.4723967,6.669584661
ZNF780B,4.421582395,4.234982902,4.202601149,4.280442813,4.512887312
FRG1,9.07508755,8.837645366,9.112268378,8.861213035,9.248481064
FRG2,5.198127705,4.952420714,5.277316499,4.994745246,4.886219664
RHEBL1,5.380469557,5.180560245,5.105331091,5.479975434,5.297350018
TP53TG3,5.269136926,5.413274206,5.39092188,5.25093699,5.288567144
IFT80,6.983533987,6.879280909,7.205520786,7.090122604,7.068672471
IFT81,4.49492632,4.402326859,4.671072355,4.538060862,4.360830102
TRAIP,6.133595241,6.000260818,5.950952401,5.773023508,6.084531338
IFT88,4.792678338,5.268949305,4.970969012,4.431992452,4.946746213
C11orf92,5.462745227,4.866705457,5.27810993,5.20446235,5.103531976
IL10RA,8.225702927,8.265061502,8.156129044,8.037288554,8.201077459
SARDH,6.044944776,5.767060526,5.703406865,5.792201469,6.006483826
SLC27A4,8.564210993,8.332092538,8.387153704,8.349463273,8.482979477
XPA,7.323990168,7.612854711,7.76329934,7.595898633,7.90599101
40969,7.10061688,7.322271753,7.252745666,6.927694712,7.028344029
CNTF,4.620562124,4.510910786,4.522104826,4.686238586,4.683410476
MCM10,4.239525812,4.630877888,4.261275661,4.304118731,4.16343858
NUP93,9.424283127,9.565582635,9.349389356,9.242831569,9.352449107
LOC284861,4.175746887,4.276554268,4.227882861,4.211509892,4.10214538
TMEM38B,6.67649725,6.867294012,6.68765432,6.568257926,6.539746897
LTBP3,7.52033145,7.643565334,7.418128012,7.307488656,7.562314224
IL10RB,10.62759537,10.81685267,10.52397727,10.67013984,10.21483961
C10orf95,8.136575938,8.033365854,8.036419463,8.11776853,8.382954266
ATG4C,7.201860749,7.58355061,7.475589753,7.531438669,7.436698426
ATG4B,8.778628642,8.499598579,8.325599508,8.55036238,8.569225207
ATG4A,8.099579982,8.082195814,8.128940225,7.950032204,7.851174747
THUMPD2,5.820030093,5.394118366,5.790703047,5.264706247,5.379423213
CDH22,5.345809076,5.675183367,5.396392907,5.45389216,5.532869847
ATG4D,7.128488983,6.744982209,6.912051368,6.967864362,6.752703947
PHOX2A,5.348208372,5.3913949,5.210465632,5.226155122,5.15276145
PHOX2B,5.39563275,5.428243104,5.325706502,5.346835395,5.278640755
FAM193A,7.907626026,7.778092397,7.803665181,7.588196746,7.632246606
CHORDC1,7.189300144,7.504026687,7.742828324,7.306632849,7.697532977
LRGUK,4.215166162,4.279558444,4.414666483,4.442896978,4.412973601
UPK2,5.45389216,5.37018938,5.19424444,5.339166498,5.326236846
CFH,5.089296779,4.21912467,4.56464901,4.875056658,4.343730314
CFI,3.785411229,3.941659331,3.778692064,3.769119165,4.744990635
PNP,9.753769372,9.95898482,10.02757423,9.842608272,9.711857023
CFD,10.54823019,10.44354695,10.81895926,9.861000795,10.32887521
C1orf14,4.286542015,4.359747879,4.388083696,4.162895954,4.235749785
CFB,5.12677387,5.058674587,4.976421713,5.040015721,5.00076058
OR5P3,4.723831565,4.476420126,4.508589319,4.180706992,4.305975501
OR5P2,5.009613787,5.183516887,4.971180229,5.142727922,4.827743618
LHPP,7.460183319,7.469798818,7.56487517,7.65734523,7.437024938
ERCC3,6.562742046,6.597935519,6.400180149,6.332931386,6.526198237
CDKAL1,4.372983247,4.464539678,4.691453483,4.343280609,4.384249118
PNN,8.905653881,8.827809129,8.741557982,8.691430887,8.890175719
PTCHD3,4.04577974,3.875561334,4.247467419,4.009228748,4.190703591
ATP6V0E1,12.1423697,11.9945834,12.01882646,11.83594804,11.77547443
ATP6V0E2,6.590313721,6.771210268,6.345804865,6.832270039,6.618849749
RNF128,3.833492706,3.91877219,3.796556184,3.947679554,4.632350639
CFP,10.02542561,10.52953524,9.902460009,10.10111776,9.672170773
AAAS,6.845686156,6.931196948,7.000892369,6.978922585,6.997577066
HAMP,8.159280711,8.232513407,8.145077177,8.764862277,8.699060898
LTBP1,5.992995267,6.292366608,6.541097687,6.324391933,6.561070483
SIDT1,6.339921362,6.01081406,6.4441802,6.114232242,6.312670752
SIDT2,6.794465598,6.585213753,7.089866981,6.847580166,7.116555219
PISRT1,6.191882047,6.48282687,6.468783516,6.463599201,6.411466819
LOC645261,4.079074978,4.301145209,4.129478427,4.069961706,3.982410925
TTC7B,6.189498123,6.448322496,6.698228169,6.623119298,6.803466916
MSLNL,4.994038525,4.74143302,4.809347529,4.775416895,4.840995342
SIX4,4.116982966,4.100371876,4.268977716,4.024134847,4.159037129
SIX5,5.62834768,5.70737661,5.548255679,5.988011748,6.070228154
SIX6,5.146831326,5.322900812,5.554602406,5.202008393,5.47038699
SAGE1,4.086964478,3.756561361,4.284058125,4.70435049,5.305140517
SIX1,4.444775864,4.541567192,4.461468735,4.472209142,4.444263644
SIX2,6.996358194,6.973869397,7.014103726,7.104963475,7.31305527
SIX3,4.604974105,4.523302841,4.516731595,4.631628086,4.465569651
WASH3P,7.66922072,7.741777464,7.671777403,7.566198865,7.361587118
CNPY4,7.094932644,6.914022915,7.126296147,6.99533641,6.786582673
NAALAD2,3.863036989,3.871746596,3.857667702,3.889967907,3.793994528
CNPY2,8.412437052,8.424016289,8.418745579,8.188556983,8.346216148
CNPY1,4.829675019,4.749146086,4.664445604,4.579252403,4.697163112
NODAL,4.547268074,4.704880321,4.539128974,4.49118611,4.441384329
IGFBPL1,5.677432187,5.823613454,5.708833729,5.855203282,5.710517639
COPG2,6.327813182,6.731669814,6.448086594,6.223576349,6.636004861
KNDC1,5.304613025,5.672571293,5.372866983,5.394812515,5.440584361
HMG20A,6.005768437,5.693425529,6.285951402,5.911810892,6.238740224
HMG20B,7.85972628,8.088905855,7.812875689,7.880148657,7.879693807
GLT8D2,5.004932905,4.778580126,5.696745558,5.081605024,4.982404614
AAGAB,6.298798414,6.603723515,6.927366615,6.337654186,6.246129997
FBXO6,7.912774069,8.050643387,8.022594911,7.888039654,7.575920279
C4orf19,4.440791828,4.343280609,4.155067634,4.343066266,4.160776276
C3orf79,4.536273757,4.499386731,4.558081091,4.375034736,4.327585477
C3orf78,6.846807464,7.02484672,6.797697269,6.838535121,6.857182095
C3orf77,4.107426387,3.901782804,4.1564932,3.826176247,4.006848925
C3orf75,7.636890364,7.519618418,7.578857999,7.684807929,7.435824132
C4orf17,3.950942614,3.983209472,3.91877219,3.91877219,3.986961082
CDH26,4.823724319,5.078572509,5.045861318,4.899178377,4.732210313
C3orf72,5.590411187,5.317816008,5.135763283,5.353788468,5.219766985
C3orf71,6.5266813,6.359727927,6.407179832,6.386620816,6.126756934
C3orf70,4.855189438,5.020871821,5.164674479,4.736015115,4.649260691
MRO,4.027770604,4.173521856,4.080970902,3.886405295,4.039593439
ZFP82,7.935621697,7.823288044,7.582924316,7.67557949,7.332662465
CHFR,9.218344069,9.089659607,9.173883254,8.968082288,9.205971996
EFHA1,9.588596264,10.01556823,10.20860997,9.898918981,10.02355307
EFHA2,3.909994726,4.030829327,4.017381439,4.257107772,4.157906532
SYPL1,9.060366026,8.991616677,9.097915813,9.116424937,9.336142682
RCOR3,7.782014744,7.765889145,8.106235323,7.776147727,7.779159251
SYPL2,6.151086607,6.101996357,5.881771451,6.263277368,6.198163851
RFX8,4.279325678,4.124989749,4.038593673,4.104180768,4.460811792
NPR3,4.077197968,4.238967054,4.257425452,3.973255549,4.061575378
RFX4,4.437391852,4.465126996,4.404859497,4.523763684,4.511860435
RFX5,7.926243174,8.15174047,7.967005063,8.000765962,8.027034781
RFX6,3.858170069,4.025238539,4.158767994,4.284058125,3.777254778
RFX7,6.397717397,6.782203177,6.989850062,6.434355179,6.406116266
NRXN3,4.293255183,4.502547016,4.312893162,4.462284883,4.096178792
C21orf45,6.520344437,6.547337158,6.54826691,6.306871,6.492444327
NRXN1,4.566920563,4.288133672,4.179141647,4.300314369,4.365011377
RFX3,4.812506411,4.730726118,4.724263432,4.501841394,4.579774495
YDJC,8.707476992,8.501862138,8.628854757,8.61243158,8.551541082
RFPL2,4.919873666,5.113019984,5.074530382,4.820685199,4.924366332
APC,6.348956644,6.524919792,6.663277525,6.486183588,6.517162647
TMEM179B,9.30656224,9.226682037,9.363952083,9.304474912,9.33080037
ETV3L,7.767888789,7.713925694,7.707521707,8.153518407,7.946853763
UQCRC2,9.307384977,9.284448349,9.465368713,9.252281701,9.396770561
XPNPEP1,7.221908432,7.046824735,7.333484003,7.056452099,7.169369369
XPNPEP2,5.657837399,5.62059319,5.334226608,5.817496333,5.873126999
UQCRC1,7.050254783,6.97546082,6.904927553,6.923653616,6.811387625
SLC4A2,6.83771553,6.602321084,6.697030377,6.606607464,6.906005255
RUNDC2A,7.079730342,7.160957446,7.381589727,7.405260793,7.090751262
GGCX,5.108663364,5.628895529,5.508293875,5.366627546,5.273369732
PAPLN,5.762513738,5.823203138,5.988998724,5.801480768,5.688649215
ADNP,9.047877915,9.16335235,9.120464632,9.335259651,9.195731274
ZNF57,6.035316127,5.956623942,6.133321271,5.835207038,6.012641342
KHDRBS1,9.628141022,9.659587453,9.728171395,9.41911975,9.777631313
KHDRBS3,4.884499843,4.843076748,4.738555111,4.661724248,4.730931945
GGCT,8.301703225,8.372272856,8.697427508,8.320957967,8.39825891
NACAP1,4.00603761,4.300049041,4.181329355,4.32013851,4.018371817
DYNC1I2,9.246111744,8.998887375,9.298026793,12.06056421,12.01082288
REG1A,6.309537625,6.385047257,6.141912077,6.326578121,6.245851035
TBL1Y,5.32339949,5.313237469,5.438363981,5.242751063,5.179307561
LHCGR,4.010886693,3.999209,4.071936692,4.001506546,4.127326227
